[2026-07-22T07:58:36Z] launch attempt 1/4: /hy-tmp/envs/rsp-vsr/bin/python -u continual_adapt.py output_dir=/hy-tmp/experiments/rsp_vsr/chinese_lips_test_strict_nofeedback_3seed/single_adapter_nofeedback_seed42 data_root_dir=/hy-tmp/cn_dataset/chinese_lips/chinese_lips stream_manifest=/hy-tmp/datasets/manifests/chinese_lips_test_model_vocab_seed42.jsonl checkpoint_path=/hy-tmp/rsp-vsr/VSR/pretrained_models/model_avg_cncvs_2_3_cnvsrc.pth plasticity.mode=single_adapter feedback.every=0 log_every=25 checkpoint_every=100 checkpoint_file_limit=3 metrics_history_every=25 checkpoint_selection_metric=mean_reliability seed=42 
/hy-tmp/envs/rsp-vsr/lib/python3.10/site-packages/lightning_fabric/__init__.py:29: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  __import__("pkg_resources").declare_namespace(__name__)
持续适应设备：cuda:0
/hy-tmp/envs/rsp-vsr/lib/python3.10/site-packages/torch/_utils.py:776: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
已处理 2375 条，CER=0.6473522558779919，专家数=1
已处理 2400 条，CER=0.649838432162491，专家数=1
已处理 2425 条，CER=0.6519507506883474，专家数=1
已处理 2450 条，CER=0.6540586703983043，专家数=1
已处理 2475 条，CER=0.6563738828253182，专家数=1
已处理 2500 条，CER=0.6581757924198487，专家数=1
已处理 2525 条，CER=0.6603371730261579，专家数=1
已处理 2550 条，CER=0.6622995949813335，专家数=1
已处理 2575 条，CER=0.664275550758059，专家数=1
已处理 2600 条，CER=0.6654018660673457，专家数=1
已处理 2625 条，CER=0.6663033413071996，专家数=1
已处理 2650 条，CER=0.667416224905747，专家数=1
已处理 2675 条，CER=0.66808970856102，专家数=1
已处理 2700 条，CER=0.669177669939435，专家数=1
已处理 2725 条，CER=0.6703392044182401，专家数=1
已处理 2750 条，CER=0.6712526484275974，专家数=1
已处理 2775 条，CER=0.6726260365450943，专家数=1
已处理 2800 条，CER=0.6742049791023078，专家数=1
已处理 2825 条，CER=0.6756520642697601，专家数=1
已处理 2850 条，CER=0.6770436350329784，专家数=1
已处理 2875 条，CER=0.678065474611344，专家数=1
已处理 2900 条，CER=0.6792175010517459，专家数=1
已处理 2925 条，CER=0.6792886428328937，专家数=1
已处理 2950 条，CER=0.679158812237345，专家数=1
已处理 2975 条，CER=0.6790480770882358，专家数=1
已处理 3000 条，CER=0.6788105738145402，专家数=1
已处理 3025 条，CER=0.678556896785569，专家数=1
已处理 3050 条，CER=0.6783622774421328，专家数=1
已处理 3075 条，CER=0.6782390358218949，专家数=1
已处理 3100 条，CER=0.6780631046559025，专家数=1
已处理 3125 条，CER=0.6778136855416608，专家数=1
已处理 3150 条，CER=0.6766550008605923，专家数=1
已处理 3175 条，CER=0.6754762718206517，专家数=1
已处理 3200 条，CER=0.6738812778015484，专家数=1
已处理 3225 条，CER=0.6721737040301258，专家数=1
已处理 3250 条，CER=0.6703399802817798，专家数=1
已处理 3275 条，CER=0.669098488796248，专家数=1
已处理 3300 条，CER=0.6680938154273213，专家数=1
已处理 3325 条，CER=0.6672427080170944，专家数=1
已处理 3350 条，CER=0.6671099016636775，专家数=1
已处理 3375 条，CER=0.6669635727010259，专家数=1
已处理 3400 条，CER=0.6666793735990607，专家数=1
已处理 3425 条，CER=0.6663970793871551，专家数=1
已处理 3450 条，CER=0.6651812841806766，专家数=1
已处理 3475 条，CER=0.6649694046183393，专家数=1
已处理 3500 条，CER=0.6645049303837205，专家数=1
已处理 3525 条，CER=0.664531713208652，专家数=1
已处理 3550 条，CER=0.6643112616893623，专家数=1
已处理 3575 条，CER=0.6647697022893074，专家数=1
已处理 3600 条，CER=0.6648178683855493，专家数=1
已处理 3625 条，CER=0.6646517981639688，专家数=1
已处理 3650 条，CER=0.6647841418356022，专家数=1
已处理 3675 条，CER=0.6659306103909717，专家数=1
已处理 3700 条，CER=0.6669888599919336，专家数=1
已处理 3725 条，CER=0.6680201430488497，专家数=1
已处理 3750 条，CER=0.6687783179320508，专家数=1
已处理 3775 条，CER=0.6699471290817445，专家数=1
已处理 3800 条，CER=0.6708387870855148，专家数=1
已处理 3825 条，CER=0.6721280347212804，专家数=1
已处理 3850 条，CER=0.673249018046351，专家数=1
已处理 3875 条，CER=0.6743643996641477，专家数=1
已处理 3900 条，CER=0.675540832069889，专家数=1
{
  "samples": 3908,
  "cer": 0.6758439965059911,
  "edits": 101357,
  "characters": 149971,
  "mean_reliability": 0.5453339491205963,
  "updates": {
    "skipped": 3778,
    "accepted": 37,
    "rolled_back": 93
  },
  "attempted_updates": 130,
  "accepted_update_rate": 0.2846153846153846,
  "timing": {
    "total_video_load_seconds": 236.99668018892407,
    "total_process_seconds": 7702.058242633939,
    "total_seconds": 7939.348640486598,
    "mean_video_load_seconds": 0.06064398162459674,
    "mean_process_seconds": 1.9708439720148256,
    "mean_total_seconds": 2.0315631116905317
  },
  "domains": {
    "019": {
      "cer": 0.5517761623919901,
      "edits": 4023,
      "characters": 7291,
      "samples": 171
    },
    "169": {
      "cer": 0.6379027853631896,
      "edits": 4672,
      "characters": 7324,
      "samples": 201
    },
    "102": {
      "cer": 0.9558916194076874,
      "edits": 7585,
      "characters": 7935,
      "samples": 206
    },
    "143": {
      "cer": 0.5881441847366939,
      "edits": 4177,
      "characters": 7102,
      "samples": 161
    },
    "199": {
      "cer": 0.6844391785150079,
      "edits": 5199,
      "characters": 7596,
      "samples": 173
    },
    "158": {
      "cer": 0.5128805620608899,
      "edits": 3942,
      "characters": 7686,
      "samples": 191
    },
    "078": {
      "cer": 0.7746699777806823,
      "edits": 5927,
      "characters": 7651,
      "samples": 162
    },
    "197": {
      "cer": 0.5429716491019742,
      "edits": 3658,
      "characters": 6737,
      "samples": 163
    },
    "027": {
      "cer": 0.7583738519719071,
      "edits": 5615,
      "characters": 7404,
      "samples": 144
    },
    "081": {
      "cer": 0.4707487117308275,
      "edits": 3106,
      "characters": 6598,
      "samples": 181
    },
    "007": {
      "cer": 0.6539695828101019,
      "edits": 4687,
      "characters": 7167,
      "samples": 168
    },
    "024": {
      "cer": 0.48411845941384074,
      "edits": 3155,
      "characters": 6517,
      "samples": 255
    },
    "074": {
      "cer": 0.7172189181534976,
      "edits": 5065,
      "characters": 7062,
      "samples": 188
    },
    "141": {
      "cer": 0.8784072688401924,
      "edits": 6574,
      "characters": 7484,
      "samples": 200
    },
    "033": {
      "cer": 0.7916604837512984,
      "edits": 5335,
      "characters": 6739,
      "samples": 192
    },
    "182": {
      "cer": 0.8230225745304153,
      "edits": 4776,
      "characters": 5803,
      "samples": 144
    },
    "041": {
      "cer": 0.657631113730112,
      "edits": 4464,
      "characters": 6788,
      "samples": 222
    },
    "112": {
      "cer": 0.4858632994784518,
      "edits": 3540,
      "characters": 7286,
      "samples": 195
    },
    "040": {
      "cer": 0.6201963534361852,
      "edits": 4422,
      "characters": 7130,
      "samples": 181
    },
    "131": {
      "cer": 0.6621621621621622,
      "edits": 4557,
      "characters": 6882,
      "samples": 145
    },
    "130": {
      "cer": 0.8830401848761074,
      "edits": 6878,
      "characters": 7789,
      "samples": 265
    }
  },
  "expert_bank": {
    "expert_count": 1,
    "signature_motion_order": 2,
    "route_counts": [
      3908
    ],
    "accepted_updates": [
      37
    ],
    "prototype_counts": [
      38
    ],
    "pending_shift_count": 0
  },
  "mode": "single_adapter",
  "adaptation_objective": "rsp",
  "feedback_update_strategy": "full_sequence",
  "base_checkpoint": "/hy-tmp/rsp-vsr/VSR/pretrained_models/model_avg_cncvs_2_3_cnvsrc.pth",
  "stream_manifest": "/hy-tmp/datasets/manifests/chinese_lips_test_model_vocab_seed42.jsonl",
  "stream_state": {
